# Метеостанция Москва (центр, Балчуг), Россия, WMO_ID=27605, выборка с 16.11.2019 по 30.01.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27605&lang=ru
#
"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.01.2020 06:00";"0.3";"745.3";"756.9";"";"94";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.9";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"2.0";"-0.6";"0.5";"12";"";"";"";"";
"29.01.2020 03:00";"-0.9";"745.6";"757.3";"";"94";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"2.0";"-1.8";"";"";"";"";"";"";
"29.01.2020 00:00";"-1.7";"746.2";"758.0";"";"91";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-3.0";"";"";"";"";"";"";
"28.01.2020 21:00";"-2.3";"746.6";"758.4";"";"90";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-2.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.8";"3.0";"12";"";"";"";"";
"28.01.2020 18:00";"-3.0";"747.0";"758.8";"";"88";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-4.7";"4.0";"12";"";"";"";"";
"28.01.2020 15:00";"-3.2";"747.3";"759.1";"";"84";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-5.6";"";"";"";"";"";"";
"28.01.2020 12:00";"-4.2";"748.5";"760.4";"";"82";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-6.8";"";"";"";"";"";"";
"28.01.2020 09:00";"-5.5";"749.1";"761.0";"";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-5.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-7.7";"3.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"5.0";
"28.01.2020 06:00";"-5.6";"749.4";"761.4";"";"87";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-5.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-7.5";"2.0";"12";"";"";"";"";
"28.01.2020 03:00";"-5.4";"750.4";"762.4";"";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-7.6";"";"";"";"";"";"";
"28.01.2020 00:00";"-3.3";"751.0";"763.0";"";"57";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-10.8";"";"";"";"";"";"";
"27.01.2020 21:00";"-2.4";"751.0";"762.8";"";"49";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"0.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-11.7";"Осадков нет";"12";"";"";"";"";
"27.01.2020 18:00";"-1.2";"750.4";"762.2";"";"63";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"10.0";"-7.5";"Следы осадков";"12";"";"";"";"";
"27.01.2020 15:00";"-0.4";"749.5";"761.2";"";"61";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-7.1";"";"";"";"";"";"";
"27.01.2020 12:00";"-0.1";"748.8";"760.6";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-5.9";"";"";"";"";"";"";
"27.01.2020 09:00";"0.6";"746.9";"758.5";"";"82";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Дождь.";"0.6";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"";"";"10.0";"-2.2";"2.0";"12";"";"";"";"";
"27.01.2020 06:00";"2.7";"744.6";"756.1";"";"86";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"0.5";"3.0";"12";"";"";"";"";
"27.01.2020 03:00";"3.0";"742.9";"754.4";"";"84";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.6";"";"";"";"";"";"";
"27.01.2020 00:00";"2.0";"742.3";"753.8";"";"88";"Ветер, дующий с запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"0.2";"";"";"";"";"";"";
"26.01.2020 21:00";"0.7";"743.0";"754.6";"";"83";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-1.9";"0.3";"12";"";"";"";"";
"26.01.2020 18:00";"0.2";"745.2";"756.9";"";"73";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.2";"Осадков нет";"12";"";"";"";"";
"26.01.2020 15:00";"-0.1";"746.6";"758.3";"";"69";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-5.1";"";"";"";"";"";"";
"26.01.2020 12:00";"-0.5";"747.1";"758.8";"";"66";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.2";"";"";"";"";"";"";
"26.01.2020 09:00";"-0.5";"745.6";"757.3";"";"68";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"-0.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.8";"Осадков нет";"12";"";"";"";"";
"26.01.2020 06:00";"-0.6";"744.1";"755.7";"";"67";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"-0.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-6.0";"Осадков нет";"12";"";"";"";"";
"26.01.2020 03:00";"-0.3";"741.8";"753.4";"";"70";"Ветер, дующий с западо-северо-запада";"2";"";"13";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.2";"";"";"";"";"";"";
"26.01.2020 00:00";"0.2";"739.6";"751.2";"";"72";"Ветер, дующий с западо-северо-запада";"5";"13";"13";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.3";"";"";"";"";"";"";
"25.01.2020 21:00";"0.6";"737.8";"749.3";"";"70";"Ветер, дующий с западо-северо-запада";"3";"";"11";"90  или более, но не 100%";" ";"";"";"";"3.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.4";"0.6";"12";"";"";"";"";
"25.01.2020 18:00";"1.2";"735.9";"747.4";"";"75";"Ветер, дующий с западо-северо-запада";"3";"";"12";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.8";"0.6";"12";"";"";"";"";
"25.01.2020 15:00";"2.9";"735.0";"746.4";"";"81";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.0";"";"";"";"";"";"";
"25.01.2020 09:00";"1.9";"737.0";"748.4";"";"86";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.2";"3.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"1.0";
"25.01.2020 06:00";"2.9";"736.4";"747.8";"";"87";"Ветер, дующий с запада";"2";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.0";"4.0";"12";"";"";"";"";
"25.01.2020 03:00";"2.9";"736.6";"748.0";"";"91";"Ветер, дующий с запада";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"1.5";"";"";"";"";"";"";
"25.01.2020 00:00";"2.3";"737.5";"748.9";"";"91";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"0.9";"";"";"";"";"";"";
"24.01.2020 21:00";"1.8";"737.8";"749.3";"";"91";"Ветер, дующий с запада";"1";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"1.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.4";"3.0";"12";"";"";"";"";
"24.01.2020 18:00";"1.2";"738.7";"750.1";"";"91";"Ветер, дующий с запада";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-0.1";"2.0";"12";"";"";"";"";
"24.01.2020 15:00";"0.8";"739.6";"751.0";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.7";"";"";"";"";"";"";
"24.01.2020 12:00";"-1.9";"741.6";"753.3";"";"88";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-3.6";"";"";"";"";"";"";
"24.01.2020 09:00";"-3.4";"743.5";"755.3";"";"79";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-6.5";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"5.0";
"24.01.2020 06:00";"-3.6";"745.6";"757.5";"";"74";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"-4.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-7.6";"Осадков нет";"12";"";"";"";"";
"24.01.2020 03:00";"-3.1";"747.7";"759.5";"";"71";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-7.7";"";"";"";"";"";"";
"24.01.2020 00:00";"-4.0";"747.3";"759.1";"";"64";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.9";"";"";"";"";"";"";
"23.01.2020 21:00";"-4.4";"747.4";"759.3";"";"64";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"-3.3";"";"";"";"";"";"10.0";"-10.3";"Следы осадков";"12";"";"";"";"";
"23.01.2020 18:00";"-3.8";"746.2";"758.0";"";"61";"Ветер, дующий с западо-северо-запада";"2";"";"10";"50%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-10.3";"Следы осадков";"12";"";"";"";"";
"23.01.2020 15:00";"-3.8";"744.4";"756.3";"";"59";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-10.8";"";"";"";"";"";"";
"23.01.2020 12:00";"-3.9";"743.5";"755.3";"";"69";"Ветер, дующий с северо-запада";"2";"";"11";"90  или более, но не 100%";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.9";"";"";"";"";"";"";
"23.01.2020 09:00";"-3.5";"741.7";"753.5";"";"72";"Ветер, дующий с северо-запада";"3";"";"10";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Метель";"-3.5";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"10.0";"-7.9";"3.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"5.0";
"23.01.2020 06:00";"-2.6";"739.6";"751.3";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"-2.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"2.0";"-4.6";"3.0";"12";"";"";"";"";
